"genotype_name","genotype_id","treatment","location","rep","Pod_branches_5C","Flower_branches_5C","Non.fertile_nodes_5C","Total_nodes_5C","Proportion_pod_nodes_5C","Proportion_floral_nodes_5C","Pod_nodes_versus_DAV_5C","Pod_branches_10C","Flower_branches_10C","Non.fertile_nodes_10C","Total_nodes_10C","Proportion_pod_nodes_10C","Proportion_floral_nodes_10C","Pod_nodes_versus_DAV_10C","Pod_branches_tenminusfive","Flower_branches_tenminusfive","Non.fertile_nodes_tenminusfive","Total_nodes_tenminusfive","Proportion_pod_nodes_tenminusfive","Proportion_floral_nodes_tenminusfive","Pod_nodes_versus_DAV_tenminusfive"
"LICROWN_X_EXPRESS_DH_LINE","a-0000105","branching",1,1,5,0,0,5,1,0,"0.012048193",3,1,3,7,0.428571429,0.142857143,0.00487013,-2,1,3,2,-0.571428571,0.142857143,"-0.007178063"
"LICROWN_X_EXPRESS_DH_LINE","a-0000105","branching",1,2,4,1,0,5,0.8,0.2,"0.009638554",3,2,0,5,0.6,0.4,0.006818182,-1,1,0,0,-0.2,0.2,"-0.002820372"
"LICROWN_X_EXPRESS_DH_LINE","a-0000105","branching",2,3,4,1,0,5,0.8,0.2,"0.009638554",3,3,0,6,0.5,0.5,0.005882353,-1,2,0,1,-0.3,0.3,"-0.003756201"
"SHANNON_x_WINNER_DH_LINE","a-0000106","branching",1,1,5,0,5,10,0.5,0,"0.006024096",8,1,0,9,0.888888889,0.111111111,0.010709505,3,1,-5,-1,0.388888889,0.111111111,"0.004685408"
"SHANNON_x_WINNER_DH_LINE","a-0000106","branching",1,2,6,2,0,8,0.75,0.25,"0.009259259",8,1,0,9,0.888888889,0.111111111,0.010709505,2,-1,0,1,0.138888889,-0.138888889,"0.001450245"
"SHANNON_x_WINNER_DH_LINE","a-0000106","branching",2,3,NA,NA,NA,0,NA,NA,"",9,1,0,10,0.9,0.1,0.010843373,NA,NA,NA,10,NA,NA,""
"Janetzkis_Schlesischer","a-0000107","branching",1,1,5,0,3,8,0.625,0,"0.007352941",4,0,6,10,0.4,0,0.004210526,-1,0,3,2,-0.225,0,"-0.003142415"
"Janetzkis_Schlesischer","a-0000107","branching",1,2,5,1,2,8,0.625,0.125,"0.007102273",3,0,6,9,0.333333333,0,0.003508772,-2,-1,4,1,-0.291666667,-0.125,"-0.003593501"
"Janetzkis_Schlesischer","a-0000107","branching",2,3,5,0,3,8,0.625,0,"0.007102273",4,0,5,9,0.444444444,0,0.004678363,-1,0,2,1,-0.180555556,0,"-0.00242391"
"LEMBKES_MALCHOWER_LENORA","a-0000108","branching",1,1,4,0,1,5,0.8,0,"0.008888889",1,1,10,12,0.083333333,0.083333333,0.000750751,-3,1,9,7,-0.716666667,0.083333333,"-0.008138138"
